wavelength (nm),refractive index
458.2,1.46498
458.4,1.46496
458.6,1.46495
458.8,1.46493
459,1.46492
459.2,1.4649
459.4,1.46489
459.6,1.46488
459.8,1.46486
460,1.46485
460.2,1.46483
460.4,1.46482
460.6,1.4648
460.8,1.46479
461,1.46477
461.2,1.46476
461.4,1.46475
461.6,1.46473
461.8,1.46472
462,1.4647
462.2,1.46469
462.4,1.46467
462.6,1.46466
462.8,1.46464
463,1.46463
463.2,1.46462
463.4,1.4646
463.6,1.46459
463.8,1.46457
464,1.46456
464.2,1.46454
464.4,1.46453
464.6,1.46452
464.8,1.4645
465,1.46449
465.2,1.46447
465.4,1.46446
465.6,1.46445
465.8,1.46443
466,1.46442
466.2,1.4644
466.4,1.46439
466.6,1.46438
466.8,1.46436
467,1.46435
467.2,1.46433
467.4,1.46432
467.6,1.46431
467.8,1.46429
468,1.46428
468.2,1.46426
468.4,1.46425
468.6,1.46424
468.8,1.46423
469,1.46421
469.2,1.4642
469.4,1.46419
469.6,1.46417
469.8,1.46416
470,1.46415
470.2,1.46413
470.4,1.46412
470.6,1.46411
470.8,1.46409
471,1.46408
471.2,1.46407
471.4,1.46406
471.6,1.46404
471.8,1.46403
472,1.46402
472.2,1.464
472.4,1.46399
472.6,1.46398
472.8,1.46397
473,1.46395
473.2,1.46394
473.4,1.46393
473.6,1.46391
473.8,1.4639
474,1.46389
474.2,1.46388
474.4,1.46386
474.6,1.46385
474.8,1.46384
475,1.46382
475.2,1.46381
475.4,1.4638
475.6,1.46379
475.8,1.46377
476,1.46376
476.2,1.46375
476.4,1.46374
476.6,1.46372
476.8,1.46371
477,1.4637
477.2,1.46368
477.4,1.46367
477.6,1.46366
477.8,1.46365
478,1.46363
478.2,1.46362
478.4,1.46361
478.6,1.4636
478.8,1.46358
479,1.46357
479.2,1.46356
479.4,1.46355
479.6,1.46353
479.8,1.46352
480,1.46351
480.2,1.4635
480.4,1.46348
480.6,1.46347
480.8,1.46346
481,1.46345
481.2,1.46343
481.4,1.46342
481.6,1.46341
481.8,1.4634
482,1.46338
482.2,1.46337
482.4,1.46336
482.6,1.46335
482.8,1.46333
483,1.46332
483.2,1.46331
483.4,1.4633
483.6,1.46329
483.8,1.46327
484,1.46326
484.2,1.46325
484.4,1.46324
484.6,1.46322
484.8,1.46321
485,1.4632
485.2,1.46319
485.4,1.46317
485.6,1.46316
485.8,1.46315
486,1.46314
486.2,1.46313
486.4,1.46311
486.6,1.4631
486.8,1.46309
487,1.46308
487.2,1.46307
487.4,1.46306
487.6,1.46304
487.8,1.46303
488,1.46302
488.2,1.46301
488.4,1.463
488.6,1.46299
488.8,1.46297
489,1.46296
489.2,1.46295
489.4,1.46294
489.6,1.46293
489.8,1.46292
490,1.4629
490.2,1.46289
490.4,1.46288
490.6,1.46287
490.8,1.46286
491,1.46285
491.2,1.46284
491.4,1.46282
491.6,1.46281
491.8,1.4628
492,1.46279
492.2,1.46278
492.4,1.46277
492.6,1.46276
492.8,1.46274
493,1.46273
493.2,1.46272
493.4,1.46271
493.6,1.4627
493.8,1.46269
494,1.46268
494.2,1.46266
494.4,1.46265
494.6,1.46264
494.8,1.46263
495,1.46262
495.2,1.46261
495.4,1.4626
495.6,1.46258
495.8,1.46257
496,1.46256
496.2,1.46255
496.4,1.46254
496.6,1.46253
496.8,1.46252
497,1.46251
497.2,1.46249
497.4,1.46248
497.6,1.46247
497.8,1.46246
498,1.46245
498.2,1.46244
498.4,1.46243
498.6,1.46242
498.8,1.46241
499,1.46239
499.2,1.46238
499.4,1.46237
499.6,1.46236
499.8,1.46235
500,1.46234
500.2,1.46233
500.4,1.46232
500.6,1.46231
500.8,1.46229
501,1.46228
501.2,1.46227
501.4,1.46226
501.6,1.46225
501.8,1.46224
502,1.46223
502.2,1.46222
502.4,1.46221
502.6,1.46219
502.8,1.46218
503,1.46217
503.2,1.46216
503.4,1.46215
503.6,1.46214
503.8,1.46213
504,1.46212
504.2,1.46211
504.4,1.4621
504.6,1.46209
504.8,1.46207
505,1.46206
505.2,1.46205
505.4,1.46204
505.6,1.46203
505.8,1.46202
506,1.46201
506.2,1.462
506.4,1.46199
506.6,1.46198
506.8,1.46197
507,1.46196
507.2,1.46194
507.4,1.46193
507.6,1.46192
507.8,1.46191
508,1.4619
508.2,1.46189
508.4,1.46188
508.6,1.46187
508.8,1.46186
509,1.46185
509.2,1.46184
509.4,1.46183
509.6,1.46182
509.8,1.46181
510,1.4618
510.2,1.46179
510.4,1.46178
510.6,1.46177
510.8,1.46176
511,1.46175
511.2,1.46174
511.4,1.46173
511.6,1.46172
511.8,1.46171
512,1.4617
512.2,1.46169
512.4,1.46168
512.6,1.46167
512.8,1.46166
513,1.46165
513.2,1.46164
513.4,1.46163
513.6,1.46162
513.8,1.46161
514,1.4616
514.2,1.46159
514.4,1.46158
514.6,1.46157
514.8,1.46156
515,1.46155
515.2,1.46154
515.4,1.46153
515.6,1.46152
515.8,1.46151
516,1.4615
516.2,1.46149
516.4,1.46148
516.6,1.46147
516.8,1.46146
517,1.46145
517.2,1.46144
517.4,1.46143
517.6,1.46142
517.8,1.46141
518,1.4614
518.2,1.46139
518.4,1.46138
518.6,1.46137
518.8,1.46136
519,1.46135
519.2,1.46134
519.4,1.46133
519.6,1.46132
519.8,1.46131
520,1.4613
520.2,1.46129
520.4,1.46128
520.6,1.46127
520.8,1.46126
521,1.46125
521.2,1.46124
521.4,1.46123
521.6,1.46122
521.8,1.46121
522,1.4612
522.2,1.46119
522.4,1.46118
522.6,1.46117
522.8,1.46116
523,1.46115
523.2,1.46114
523.4,1.46113
523.6,1.46112
523.8,1.46111
